alpha,endpoint,n_accounts,median,ci_low,ci_high,prop_positive,prop_positive_ci_low,prop_positive_ci_high
0.25,raw_score_change,1291,0.06752612922553398,0.057586488367325384,0.07949753949802574,0.667699457784663,0.6405886909372579,0.691711851278079
0.25,fixed_calibration_percentile_change,1291,0.014746192893401015,0.012360406091370513,0.016979695431472153,0.6630518977536793,0.6367157242447715,0.6878388845855926
0.5,raw_score_change,1291,0.1505598389825038,0.131312367876375,0.16681119874783823,0.7025561580170411,0.6769945778466305,0.7273431448489543
0.5,fixed_calibration_percentile_change,1291,0.030583756345177626,0.02616751269035522,0.036218274111675136,0.69713400464756,0.6723470178156468,0.7226955848179706
0.75,raw_score_change,1291,0.24609157834293915,0.22198286155232155,0.2718866609070081,0.7428350116189001,0.7188226181254841,0.7660728117738187
0.75,fixed_calibration_percentile_change,1291,0.05164974619289342,0.04459390862944157,0.05824873096446703,0.726568551510457,0.7025367931835786,0.750580945003873
