Injection strength alpha,Median delta_sKM,CI low,CI high,Pr(delta_sKM > 0)
0.25,0.06752612922553398,0.057586488367325384,0.07949753949802574,0.667699457784663
0.5,0.1505598389825038,0.131312367876375,0.16681119874783823,0.7025561580170411
0.75,0.24609157834293915,0.22198286155232155,0.2718866609070081,0.7428350116189001
