model,alpha,n_accounts,median,ci_low,ci_high,prop_positive,prop_positive_ci_low,prop_positive_ci_high
Empirical-rank baseline,0.25,1291,0.049010152284263975,0.0464213197969543,0.05246192893401014,0.8721920991479474,0.855151045701007,0.8892331525948877
Empirical-rank baseline,0.5,1291,0.0800253807106599,0.07505076142131983,0.08586802030456851,0.8931061192873742,0.876839659178931,0.9085979860573199
Empirical-rank baseline,0.75,1291,0.10961928934010146,0.10281725888324877,0.11596446700507618,0.91711851278079,0.9016266460108443,0.9318357862122386
K-means,0.25,1291,0.014746192893401015,0.012360406091370513,0.016878172588832493,0.6630518977536793,0.6374709527498064,0.6893880712625872
K-means,0.5,1291,0.030583756345177626,0.025913705583756275,0.036067258883248736,0.69713400464756,0.6715724244771495,0.7211657629744384
K-means,0.75,1291,0.05164974619289342,0.04423857868020309,0.05814720812182744,0.726568551510457,0.7017815646785438,0.7506003098373353
Custom mixture,0.25,1291,0.007791878172588862,0.006218274111675082,0.009822335025380713,0.6289697908597986,0.6026336173508908,0.6553059643687065
Custom mixture,0.5,1291,0.013883248730964415,0.010736040609137132,0.01703045685279192,0.6305189775367932,0.6034082106893881,0.656855151045701
Custom mixture,0.75,1291,0.017842639593908624,0.012817258883248694,0.023020304568527883,0.6312935708752905,0.6041828040278854,0.6576297443841983
