Scoring method,alpha_0.25,alpha_0.50,alpha_0.75
Custom mixture,0.007791878172588862,0.013883248730964415,0.017842639593908624
Empirical-rank baseline,0.049010152284263975,0.0800253807106599,0.10961928934010146
K-means,0.014746192893401015,0.030583756345177626,0.05164974619289342
