method,reference_prevalence,AUPRC,ROC_AUC,P@10,R@10,P@30,R@30,P@50,R@50,P@100,R@100
periodicity_reference,0.6414946433237523,0.8422689765608284,0.7244948430346826,0.8,0.003258655804480652,0.8666666666666667,0.010590631364562118,0.88,0.017922606924643585,0.92,0.03747454175152749
empirical_rank,0.6414946433237523,0.8335311719492138,0.6994952883684751,0.9,0.0036659877800407333,0.9,0.010997963340122199,0.94,0.019144602851323828,0.96,0.039103869653767824
kmeans_core5,0.6414946433237523,0.8531962651019256,0.7457123262455987,1.0,0.004073319755600814,1.0,0.012219959266802444,0.98,0.019959266802443993,0.94,0.038289205702647655
gmm_core5,0.6414946433237523,0.8297900538948803,0.7047015372922517,0.9,0.0036659877800407333,0.8,0.009775967413441956,0.86,0.017515274949083504,0.88,0.03584521384928717
custom_mixture,0.6414946433237523,0.8485348050307314,0.7336553591468592,0.9,0.0036659877800407333,0.9,0.010997963340122199,0.9,0.018329938900203666,0.94,0.038289205702647655
