P@10,R@10,P@30,R@30,P@50,R@50,P@100,R@100,Method
0.8,0.003258655804480652,0.8666666666666667,0.010590631364562118,0.88,0.017922606924643585,0.92,0.03747454175152749,Periodicity reference
0.9,0.0036659877800407333,0.9,0.010997963340122199,0.94,0.019144602851323828,0.96,0.039103869653767824,Empirical rank
1.0,0.004073319755600814,1.0,0.012219959266802444,0.98,0.019959266802443993,0.94,0.038289205702647655,K-means
0.9,0.0036659877800407333,0.8,0.009775967413441956,0.86,0.017515274949083504,0.88,0.03584521384928717,GMM
0.9,0.0036659877800407333,0.9,0.010997963340122199,0.9,0.018329938900203666,0.94,0.038289205702647655,Custom mixture
