Method,AUPRC,ROC_AUC,median_cross_window_rho
Periodicity reference,0.8422689765608284,0.7244948430346826,0.5069582186218761
Empirical rank,0.8335311719492138,0.6994952883684751,0.735642785127113
K-means,0.8531962651019256,0.7457123262455987,0.7645559812049795
GMM,0.8297900538948803,0.7047015372922517,0.5641480493375435
Custom mixture,0.8485348050307314,0.7336553591468592,0.7344425672107208
