K,BIC,dBIC_to_next
2,3138634.9869525614,72339.77742037782
3,3066295.2095321836,56456.845097696874
4,3009838.3644344867,93180.94449660787
5,2916657.419937879,24855.23231289396
6,2891802.187624985,23762.503124988172
7,2868039.6844999967,13721.052488005254
8,2854318.6320119915,9384.112767851446
9,2844934.51924414,10771.561260556802
10,2834162.957983583,
